university_name,prefecture,city,campus_name,official_url,circle_name,organization_type,sport_category,activity_area,source_type,source_url,verification_status,public_status,last_checked_at
四日市大学,三重県,四日市市,,https://www.yokkaichi-u.ac.jp/,アメリカンフットボール部 ワイルドドランカーズ,部活,アメリカンフットボール,,other,http://www.tkcafa.jp/,admin_verified,published,2026-06-29
京都大学,京都府,京都市,吉田キャンパス,https://www.kyoto-u.ac.jp/,アメリカンフットボール部 ギャングスターズ,部活,アメリカンフットボール,京都府京都市,other,https://www.kansai-football.jp/division/,admin_verified,published,2026-06-28
京都産業大学,京都府,京都市,,https://www.kyoto-su.ac.jp/,体育会サッカー部,体育会,サッカー,,other,https://www.jufa.jp/,admin_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,アメリカンフットボール部,部活,アメリカンフットボール,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,アメリカンフットボール部 ワイルドローバー,部活,アメリカンフットボール,,other,https://www.kansai-football.jp/division/,admin_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,サッカー部,部活,サッカー,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,体育会サッカー部,体育会,サッカー,,other,https://www.jufa.jp/,admin_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,ソフトテニス部,部活,テニス,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,テニス部,部活,テニス,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,ハンドボール部,部活,ハンドボール,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,バスケットボール部,部活,バスケットボール,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,バドミントン部,部活,バドミントン,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,バレーボール部,部活,バレーボール,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,フットサル部,部活,フットサル,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,アイスホッケー部,部活,ホッケー,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,陸上ホッケー部,部活,ホッケー,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,ラクロス部,部活,ラクロス,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,ラグビー部,部活,ラグビー,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,卓球部,部活,卓球,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,水泳部,部活,水泳,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,準硬式野球部,部活,野球,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,硬式野球部,部活,野球,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,軟式野球部,部活,野球,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
同志社大学,京都府,京都市,,https://www.doshisha.ac.jp/,陸上競技部,部活,陸上競技,同志社大学,university_official,https://www.d-live.info/club/sports,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,TRPG倶楽部,部活,TRPG,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,ACE,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,BLENDERS,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,BRISE MUSIC,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,BUG LOOP,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,Balon,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,DREAM (立命館ディズニー研究会),公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,Design Factory,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,Dolphin,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,EmpireCast,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,FC. ALEGRE,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,FC.Anhero,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,Free Music Circle PEACE,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,Fusion of Gambit,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,GREENS,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,Hawaiian Circle meahula,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,INTERPLAY,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,IVUSA 京都,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,Into the Green,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,JAZZ CLUB,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
立命館大学,京都府,京都市,,https://www.ritsumei.ac.jp/,Jack&Beans,公認サークル,その他,,university_official,https://www.ritsumei.ac.jp/sports-culture/,university_verified,published,2026-06-29
